as_of,label,confidence,size_mult,degradation_level,crisis,needs_llm_review,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2021-11-08,BEAR_TREND,1.0,0.5,0,0,0,-0.003305187570190715,-0.0031987115431503232,-0.0013861267967477664
2021-11-09,BEAR_TREND,1.0,0.5,0,0,0,-0.0080451771863016,0.004065063238947841,0.004578440356012292
2021-11-10,BEAR_TREND,1.0,0.5,0,0,0,0.00032371684922050115,0.009749668072940976,0.005888523624993036
2021-11-11,BEAR_TREND,0.9993,0.5,0,0,0,0.007546818752449225,0.012851383019934604,0.015029027087514857
2021-11-12,BEAR_TREND,0.9148,0.5,0,0,0,0.00034244783714898475,0.0034669977621046844,-0.0014979748055932163
2021-11-15,BEAR_TREND,0.9801,0.5,0,0,0,0.003957811312147896,0.0002994785101251285,-0.008707170996256175
2021-11-16,BEAR_TREND,0.9819,0.5,0,0,0,-0.0024291355697558803,-0.0023226006042882386,0.002812868981086014
2021-11-17,BEAR_TREND,0.9979,0.5,0,0,0,0.0033964774774113415,0.002776792665084349,-0.0036101355914194277
2021-11-18,BEAR_TREND,0.9989,0.5,0,0,0,-0.001788418056214769,-0.022906983462541053,-0.017551612347652013
2021-11-19,BEAR_TREND,0.9995,0.5,0,0,0,-0.0028152085373633895,-0.009149341201322492,-0.026256816725499843
2021-11-22,BEAR_TREND,1.0,0.5,0,0,0,0.0013261426315696045,-0.02568606357402814,-0.0061662855105933945
2021-11-23,BEAR_TREND,1.0,0.5,0,0,0,0.0026697131712090094,-0.03778383990762868,0.00244137787764509
2021-11-24,BEAR_TREND,0.998,0.5,0,0,0,-0.022303170423579766,-0.02564743577508488,0.005993108291985738
2021-11-26,BEAR_TREND,1.0,0.5,0,0,0,0.012266577336192963,-0.012092363107438664,0.0435032663576409
2021-11-29,BEAR_TREND,1.0,0.5,0,0,0,-0.01945764390768956,-0.012505321011784587,0.03001588687116663
2021-11-30,BEAR_TREND,1.0,0.5,0,0,0,-0.01110703650880096,0.027921730959473035,0.051798987595140566
